predicted_label,komentar
sosial kemanusiaan,orang tua cerita jdi paham
sosial kemanusiaan,malu ih nebang puas dunia
kebijakan pemerintah,ga malu yaa perintah
sosial kemanusiaan,no drama the real cerita nya
sosial kemanusiaan,oppung sehat ya pung
sosial kemanusiaan,nenek bener terimakasih jujur nek
pembalakan liar,polosny dri kayu dtg gunung ambil gk ad yg ngelarang yg kaya kaya skrng tuhan marah jdi kek gin tp yg kaya kaya gk banjir enak tdr d rmhny yg mewah hangat sedangkn yg miskin miskin gk tau mala kd korban ya allah
sosial kemanusiaan,samping haru banget doggy nya alarm sih doggy hewan peka setia tolong
sosial kemanusiaan,masyaallah astaghfirullah drp malaysia doa sejahtera indonesia duduk aamiin
pembalakan liar,pinteran ibuk orang orang
kebijakan pemerintah,tempo ga kontrol perintah ya yg muja muji sorot perintah doang makasih ya dah sorot warga
sosial kemanusiaan,percaya orang tua klau bunyi suara binatang aneh tanda bencana
sosial kemanusiaan,keren jelas nya cerdas ketimbang manusia manusia kerja perintah moga sehat terimakasih tahan
kebijakan pemerintah,ibuk pintar perintah
sosial kemanusiaan,cerita real rekayasa dr inang moga sabar tuhan lindung inang
sosial kemanusiaan,lomba lomba ngasih bantu aceh pdahal tapanuli bantu
sosial kemanusiaan,bahasa mudah erti paham semangat moga jalan keluar
alih fungsi hutan,sd udah ajar pohon hutan tebang sebab banjir curiga babat pohon yg kasih ijin ngga lulus sd
sosial kemanusiaan,sadar ga sii knpa bencana pas zaman perintah pa prabowo alam tunjuk biar nya bongkar moga aja depan indonesia aman damai
alih fungsi hutan,asa ketemu kayu gelondong nomor cek repost
sosial kemanusiaan,gk kenal nenek tpi dengar cerita terharusemoga cepat dpt bantu ya nek
alih fungsi hutan,cerita nenek buka tabir
alih fungsi hutan,tolong bantu viralkan lereng gunung slamet gunung tinggi jawa tengah
pembalakan liar,anjing insting yg kuat
alih fungsi hutan,hutan gundul dampak masyarakat yg kena imbas
pembalakan liar,saksi hidup yg cerita banjir itubaru kali terjaditerjdi akibat ulah tangan manusia tanggung
kebijakan pemerintah,pinter banding tri menteri
alih fungsi hutan,stop tebang hutan indonesia jadi bencana alam daerahdaerah yg hutan nya babat habis reboisasi
pembalakan liar,juta lapang kerja juta hektar tebang pohon
sosial kemanusiaan,real nyata persen no drama
alih fungsi hutan,tangkap tri hutan yg bilang tebang hutan
komentar biasa,alam sogok uang
sosial kemanusiaan,ayookk up terooss biar berita sampe negri
kebijakan pemerintah,air said antar barang bukti
sosial kemanusiaan,ratus ribu pohon yg tebang
pembalakan liar,alam ngk butuh manusia manusia butuh alam jahat jahat alam
kebijakan pemerintah,alam said sakit antar barang bukti silah urus sisa
kebijakan pemerintah,pecat menteri hutan gubernur walikotabupati
perubahan iklim,d ambang batas alam bawa barang bukti akibat marak tambang dn babat hutan
sosial kemanusiaan,yg tutup manusia dg mudah bongkar tuhan
kebijakan pemerintah,telusur perintah tdk database usaha yg operasi sana
alih fungsi hutan,negara dana pbb pelihara hutan indonesia paru dunia hal hutan amazonapa tau hutan negara disney boikot bisnis hasil kertas indonesia karna faktor paru duniapbb dana kelola hutan indonesia program program nila juta usd hutan primer asia tenggara pasifik dana skema redd dukung green climate fund gcf indonesia terima dana juta usd inisiatif global tropical forest fund potensi dana negaranegara hutan tropis indonesia skema dana utama kalo bencana nasional bencana perhati dunia internasional bantu tutup selidik sebab banjir bandang yg bawa kayu gelondong yg banyak hantam mukim warga tdk kuasa yg nikmat untung bala liar
alih fungsi hutan,hektar rusak hutan nya tanggung bencana
kebijakan pemerintah,periksa menteri hutan sblmnya jugakrna awal dgn perijinan yg ilegal tuh
alih fungsi hutan,kayu tua lapuktetapi giat sebab
komentar biasa,rakyat tau yg jahat ga ya allah gin dah tinggal indonesia
komentar biasa,buka kotak pandora indonesia yg thn sentuh
kebijakan pemerintah,ya perintah da mikirin ituyg cuan lancar mah serah bencanamiris perintah konoha
alih fungsi hutan,perintah tutup mata bukti kayu sera mana apung bekas potong pohon tertanampara kuasa kelak akhirat malaikat dengar rakyatnu musibah
sosial kemanusiaan,tuhan kasi sdh bahas prabowo ilegal logging pokok tuhan unik inti gin guys yg dunia putus tuhan hendak
perubahan iklim,udh ditutupin ehh alam yg bukti mgkn alam jg sdh muak
alih fungsi hutan,kayu serapih bilang tebang
kebijakan pemerintah,lurah bupati gubernur tni polri ormas menteri anggota dewan yg harap rakyat salah
kebijakan pemerintah,menteri hutan khabarnya
