predicted_label,komentar
sosial kemanusiaan,korban tinggal dunia bencana banjir bandang longsor sumatra tambah orang jumat nyata hilang bencana makan korban perintah httpstcoggdfwluo httpstcoiqesszdwu
sosial kemanusiaan,roebanie kalo pilkadapilpres kroni mulyonogibron msh menang sumut orang mmg maaf banjir bandang yg landa sumatra lha ingat kalo pilih pimpin jgn krn pesona tampil lugu pdhl asli iblis usak
kebijakan pemerintah,fagtng banjir amp tanah longsor sumatra adlah musibah yg sebab lalai serakah amp kerakusandan sikap prabowo yg blum pecat menteri hutan amp usut ktrlibatan menhut sblumnya dlam tragedi bsa bilang musibah jga
sosial kemanusiaan,zahrartp durarand fdonghun kata yg kecil situasi kondisi bencana sumatra salah empati antum daerah bencana alam mudah gera rescue bencana longsor banjir parah yg tutup akses
sosial kemanusiaan,bonek disaster rescue team bantu korban banjir sumatra wilayah agam httpstcoiateffjtv
sosial kemanusiaan,anies baswedan galang dana bantu korban bencana banjir sumatra httpstcoabaqbu
sosial kemanusiaan,somexthread naik status banjir sumatra aceh status bencana nasional kau berani moy
sosial kemanusiaan,miesuccess goodrecom dasar telusur klaim gambar duta uea indonesia abdulla salem al dhaheri uea kirim bantu korban banjir sumatra indonesia buka akses bantu internasional sumber httpstcovajhqfcls des
sosial kemanusiaan,buzzboyz bedain photo ijazah aja nggak simpul banjir sumatra awokwokwok
kebijakan pemerintah,gnfi nuklir energi bersih efektif rusak lingkung signifikan salah kelola jujur khawatir kaca lambat respon perintah tangan bencana banjir sumatra tangan pltn butuh respon cepat
sosial kemanusiaan,jonistrak bospurwa bandung aja bbrp daerah jg kena jabar dr jg banjir longsor siaga ehh si bpk aing hal ka sumatra ngonten cari suara wkkk kocak sih bpk aing
alih fungsi hutan,fwbuddy sumatra banjir ga nder
sosial kemanusiaan,baku hantam lokasi ungsi korban banjir bandang longsor gedung olahraga gor pandan kabupaten tapanuli sumatra utara sabtu wib httpstcosgbpaqpkb
komentar biasa,regaropsisi rugi uang kdm rejeki warga sumatra bandung puluh banjir macet coba cek ricek jabat daerah kota bandung ganti jabat koq prioritas perbaika
kebijakan pemerintah,terima bantu asing malu rakyat derita tambah korban pikir psikologis rakyat perintah tolak bantu internasional tangan banjir sumatra alas httpstcokrcygq
alih fungsi hutan,doktertifa banjir longsor sumatra gelar s fakutas hutan ugm ada yg salah gelar tsb bencana tsb akibat hutan rusak orang utan yg tinggal hutan
kebijakan pemerintah,sharpandshark sumatra banjir parah presiden ngomongin sawit nyambung empati
sosial kemanusiaan,rgoestama coba lihat deh video detik banjir sumatra yg cctv air cepet banget kayak orang yg bawa mobil gak ngira air cepat
kebijakan pemerintah,somexthread kritik prabowo gak kritik jokowi banjir sumatra kritik masuk akal perintah yg kerja gak
sosial kemanusiaan,g sih kubur idup idup aja lumpur bekas banjir sumatra httpstcoqigbmdmsuz
kebijakan pemerintah,walhi desak perintah evaluasi usaha nakal banjir sumatera walhi uliartasiagian banjir longsor sumatera sumatra usaha httpstcohbqtotiscj
kebijakan pemerintah,profil virdian aurelio kritik keras tangan banjir sumatra joswito httpstcordswxu banjir sumatra
sosial kemanusiaan,superfai indepensumatera banjir tuh ngebawa smua makan hilang kayu aja dr hutan bawa kota makan yg musnah laut bgmnpun org lapar rakus tamak kayak yg skrg sumatra stay save smua
pembalakan liar,dhinda lu asa gak banjir sumatra aceh termul termul pd nongol alih isue
