predicted_label,komentar
sosial kemanusiaan,lakuin bang yg lahan konsesi bumi andalas
sosial kemanusiaan,aceh tamiang parah pis sampek ancur lebur porak porandaga tega liat ny lg d kota lintang kuala simpang adek ku hilang tinggal nydan ilang kontak alhamdulillah adek ku dlm selamatdan skrg ngungsi bbm liter rb
pembalakan liar,thn jabat efek nya banget negarasuarakan suara
sosial kemanusiaan,assalamualaikum bang salam kenal dr mantan atap
sosial kemanusiaan,tidur masjid gebukin orang ya
kebijakan pemerintah,sibolga kalo ga salah
sosial kemanusiaan,rafhahanif yg dampak banjir gak
sosial kemanusiaan,harysiaceh dampak banjir menghubunghubungkan yg hubung
kebijakan pemerintah,bencana terjadikyk nunggu gilir aja nunggu gilir korban musim hujann korban garagara bencana
alih fungsi hutan,kalimantan hati hutan jg sdh gundul
kebijakan pemerintah,presiden pilih mafia
kebijakan pemerintah,perintah omon
sosial kemanusiaan,ya allah ya rasulullah tolong laknat azab jabat tipu rugi rakyat indonesia aamiin ya allah rosulullah
kebijakan pemerintah,termul gk tuju kalo jadi bencana nasional takut inspeksi kait ilegal loging negara yg rusak citra perintah hidup termul
kebijakan pemerintah,sumatera hancur perintah korup revolusi mental revolusi aksi
sosial kemanusiaan,gara gara sirait sumbang donasi arab palistina bencana
sosial kemanusiaan,hah
sosial kemanusiaan,yg benak jabat indo proyek proyek proyek ga da perintah naikin status bencana dah telattt takut kena sanksi internasional krn langgar cop paris cop
kebijakan pemerintah,presiden gila tni bang ferry aja atur nya lumayan mudah jaman om ku aja masuk susah selagi masuk
kebijakan pemerintah,informasi jadi tdk presiden henti org tdk dr presiden utk tindak cepat utk bantu korban bencana aceh
sosial kemanusiaan,lekas pulih saudara
alih fungsi hutan,perintah takut minyak sawit blokir sangksi eropa minyak sawit larang export eropa
sosial kemanusiaan,terimakasih bantu yg berikansaya anak tapteng tau perintah
sosial kemanusiaan,jabat takut audit bang penting andil situ nyawa rakyat gak harga
alih fungsi hutan,diam alam tindak awal tau usaha tanggung banjir milik usaha salah wawancara harrizon ford bencana sumatera aceh doank beberapa provinsi rusak lingkung rusak hutan
sosial kemanusiaan,indonesia cerai aceh
sosial kemanusiaan,ri korupsi
kebijakan pemerintah,menteri iq
alih fungsi hutan,hujan hari nonstop aja udh bikin air progo deket muka jembatan
kebijakan pemerintah,liat panik takut presiden
pembalakan liar,gw udah gak respect aman lu bg gw ngerti lu lahir ya egois sorry mas gw gak ikutin chanel lu gw unsubs tq mas
sosial kemanusiaan,tuh bang
pembalakan liar,serakah manusia bangtapi serakah swasta oknum jabat konoha bang ferry
